id,setId,number,name,set_code,set_name,rarity,color,type,slug,hp,stage,attack,ability,text,weakness,retreat,rule
A2-007,A2,7,Yanmega ex,A2,Space-Time Smackdown,Double Rare,Grass,Pokemon,a2-7-yanmega-ex,140,Stage 1,"[{""info"": ""{CCC} Air Slash 120"", ""effect"": ""Discard a random Energy from this Pok\u00e9mon.""}]",[],,Lightning,1,"When your Pokémon <strong>ex</strong> is <strong>Knocked Out</strong>, your opponent gets <strong>2</strong> points."
A2-008,A2,8,Roselia,A2,Space-Time Smackdown,Common,Grass,Pokemon,a2-8-roselia,70,Basic,"[{""info"": ""{G} Sting 20"", ""effect"": """"}]",[],"Its flowers give off a relaxing fragrance.<br />The stronger its aroma, the healthier<br />the Roselia is.",Fire,1,
A2-009,A2,9,Roserade,A2,Space-Time Smackdown,Uncommon,Grass,Pokemon,a2-9-roserade,100,Stage 1,"[{""info"": ""{GC} Poisonous Whip 50"", ""effect"": ""Your opponent's Active Pok\u00e9mon is now Poisoned.""}]",[],"After captivating opponents with its sweet scent,<br />it lashes them with its thorny whips.",Fire,2,
A2-015,A2,15,Burmy,A2,Space-Time Smackdown,Common,Grass,Pokemon,a2-15-burmy,60,Basic,"[{""info"": ""{C} Tackle 10"", ""effect"": """"}]",[],"To shelter itself from cold, wintry winds, it covers<br />itself with a cloak made of twigs and leaves.",Fire,1,
A2-017,A2,17,Combee,A2,Space-Time Smackdown,Common,Grass,Pokemon,a2-17-combee,50,Basic,"[{""info"": ""{C} Call for Family"", ""effect"": ""Put 1 random Basic Pok\u00e9mon from your deck onto your Bench.""}]",[],"At night, Combee sleep in a group of about a<br />hundred, packed closely together in a lump.",Fire,1,
A2-018,A2,18,Vespiquen,A2,Space-Time Smackdown,Uncommon,Grass,Pokemon,a2-18-vespiquen,100,Stage 1,"[{""info"": ""{GG} Pierce 70"", ""effect"": """"}]",[],It houses its colony in cells in its body and<br />releases various pheromones to make those<br />grubs do its bidding.,Fire,2,
A2-020,A2,20,Leafeon,A2,Space-Time Smackdown,Rare,Grass,Pokemon,a2-20-leafeon,90,Stage 1,"[{""info"": ""{GC} Leafy Cyclone 90"", ""effect"": ""During your next turn, this Pok\u00e9mon can't attack.""}]",[],"When you see Leafeon asleep in a patch of<br />sunshine, you’ll know it is using photosynthesis<br />to produce clean air.",Fire,1,
A2-021,A2,21,Mow Rotom,A2,Space-Time Smackdown,Common,Grass,Pokemon,a2-21-mow-rotom,80,Basic,"[{""info"": ""{GC} Energy Cutoff 30"", ""effect"": ""Flip a coin. If heads, discard a random Energy from your opponent's Active Pok\u00e9mon.""}]",[],The lawn mower is one of the household<br />appliances that led to the development of<br />the Rotom Dex.,Fire,1,
A2-022,A2,22,Shaymin,A2,Space-Time Smackdown,Rare,Grass,Pokemon,a2-22-shaymin,60,Basic,"[{""info"": ""{GC} Flop 30"", ""effect"": """"}]","[{""info"": ""Fragrant Flower Garden"", ""effect"": ""Once during your turn, you may heal 10 damage from each of your Pok\u00e9mon.""}]",It can dissolve toxins in the air to instantly<br />transform ruined land into a lush field of flowers.,Fire,1,
A2-025,A2,25,Slugma,A2,Space-Time Smackdown,Common,Fire,Pokemon,a2-25-slugma,70,Basic,"[{""info"": ""{R} Flare 20"", ""effect"": """"}]",[],"A common sight in volcanic areas, it slowly slithers<br />around in a constant search for warm places.",Water,2,
A2-030,A2,30,Heat Rotom,A2,Space-Time Smackdown,Common,Fire,Pokemon,a2-30-heat-rotom,80,Basic,"[{""info"": ""{RC} Heat Breath 30+"", ""effect"": ""Flip a coin. If heads, this attack does 30 more damage.""}]",[],"If the convection microwave oven is not working<br />properly, then the Rotom inhabiting it will<br />become lethargic.",Water,1,
A2-031,A2,31,Swinub,A2,Space-Time Smackdown,Common,Water,Pokemon,a2-31-swinub,60,Basic,"[{""info"": ""{WC} Headbutt 40"", ""effect"": """"}]",[],It rubs its snout on the ground to find and dig up<br />food. It sometimes discovers hot springs.,Metal,2,
A2-032,A2,32,Piloswine,A2,Space-Time Smackdown,Uncommon,Water,Pokemon,a2-32-piloswine,110,Stage 1,"[{""info"": ""{WWC} Hammer In 60"", ""effect"": """"}]","[{""info"": ""Thick Fat"", ""effect"": ""This Pok\u00e9mon takes \u221220 damage from attacks from <span class=\""energy-text energy-text--type-fire\""></span> or <span class=\""energy-text energy-text--type-water\""></span> Pok\u00e9mon.""}]","If it charges at an enemy, the hairs on its back<br />stand up straight. It is very sensitive to sound.",Metal,3,
A2-033,A2,33,Mamoswine,A2,Space-Time Smackdown,Rare,Water,Pokemon,a2-33-mamoswine,160,Stage 2,"[{""info"": ""{WWCC} Frosty Flattening 120"", ""effect"": """"}]","[{""info"": ""Thick Fat"", ""effect"": ""This Pok\u00e9mon takes \u221230 damage from attacks from <span class=\""energy-text energy-text--type-fire\""></span> or <span class=\""energy-text energy-text--type-water\""></span> Pok\u00e9mon.""}]","This Pokémon can be spotted in wall paintings<br />from as far back as 10,000 years ago. For a<br />while, it was thought to have gone extinct.",Metal,4,
A2-039,A2,39,Floatzel,A2,Space-Time Smackdown,Uncommon,Water,Pokemon,a2-39-floatzel,90,Stage 1,"[{""info"": ""{W} Jet Screw 30+"", ""effect"": ""Flip a coin. If heads, this attack does 30 more damage.""}]",[],"With its flotation sac inflated, it can carry people<br />on its back. It deflates the sac before it dives.",Lightning,1,
A2-042,A2,42,Finneon,A2,Space-Time Smackdown,Common,Water,Pokemon,a2-42-finneon,50,Basic,"[{""info"": ""{W} Elegant Swim 10"", ""effect"": ""Flip a coin. If heads, during your opponent's next turn, prevent all damage from\u2014and effects of\u2014attacks done to this Pok\u00e9mon.""}]",[],The line running down its side can store sunlight.<br />It shines vividly at night.,Lightning,1,
A2-043,A2,43,Lumineon,A2,Space-Time Smackdown,Uncommon,Water,Pokemon,a2-43-lumineon,90,Stage 1,"[{""info"": ""{W} Waterfall 50"", ""effect"": """"}]",[],"With its shining light, it lures its prey close.<br />However, the light also happens to attract<br />ferocious fish Pokémon—its natural predators.",Lightning,1,
A2-044,A2,44,Snover,A2,Space-Time Smackdown,Common,Water,Pokemon,a2-44-snover,70,Basic,"[{""info"": ""{W} Ice Shard 10+"", ""effect"": ""If your opponent's Active Pok\u00e9mon is a {F} Pok\u00e9mon, this attack does 30 more damage.""}]",[],"During cold seasons, it migrates to the<br />mountain’s lower reaches. It returns to the<br />snow-covered summit in the spring.",Metal,2,
A2-045,A2,45,Abomasnow,A2,Space-Time Smackdown,Uncommon,Water,Pokemon,a2-45-abomasnow,140,Stage 1,"[{""info"": ""{WWWC} Frost Breath 120"", ""effect"": """"}]",[],It lives a quiet life on mountains that are<br />perpetually covered in snow. It hides itself<br />by whipping up blizzards.,Metal,4,
A2-047,A2,47,Wash Rotom,A2,Space-Time Smackdown,Common,Water,Pokemon,a2-47-wash-rotom,80,Basic,"[{""info"": ""{W} Wave Splash 30"", ""effect"": """"}]",[],This Rotom has entered a washing machine.<br />It nods with satisfaction after it floods the<br />surrounding area.,Lightning,2,
A2-048,A2,48,Frost Rotom,A2,Space-Time Smackdown,Common,Water,Pokemon,a2-48-frost-rotom,80,Basic,"[{""info"": ""{WW} Blizzard 30"", ""effect"": ""This attack also does 10 damage to each of your opponent's Benched Pok\u00e9mon.""}]",[],This Rotom has entered a refrigerator. It leaps<br />around gleefully after it uses cold air to freeze<br />the area around it.,Metal,1,
A2-051,A2,51,Magnemite,A2,Space-Time Smackdown,Common,Lightning,Pokemon,a2-51-magnemite,60,Basic,"[{""info"": ""{C} Ram 10"", ""effect"": """"}]",[],"The electromagnetic waves emitted by the units<br />at the sides of its head expel antigravity, which<br />allows it to float.",Fighting,1,
A2-052,A2,52,Magneton,A2,Space-Time Smackdown,Uncommon,Lightning,Pokemon,a2-52-magneton,80,Stage 1,"[{""info"": ""{LL} Lightning Ball 50"", ""effect"": """"}]",[],Three Magnemite are linked by a strong magnetic<br />force. Earaches will occur if you get too close.,Fighting,1,
A2-053,A2,53,Magnezone,A2,Space-Time Smackdown,Rare,Lightning,Pokemon,a2-53-magnezone,140,Stage 2,"[{""info"": ""{LCC} Thunder Blast 110"", ""effect"": ""Discard a {L} Energy from this Pok\u00e9mon.""}]",[],"As it zooms through the sky, this Pokémon seems<br />to be receiving signals of unknown origin while<br />transmitting signals of unknown purpose.",Fighting,2,
A2-055,A2,55,Electrode,A2,Space-Time Smackdown,Uncommon,Lightning,Pokemon,a2-55-electrode,80,Stage 1,"[{""info"": ""{L} Rolling Attack 50"", ""effect"": """"}]",[],"The more energy it charges up, the faster<br />it gets. But this also makes it more likely<br />to explode.",Fighting,1,
A2-056,A2,56,Electabuzz,A2,Space-Time Smackdown,Common,Lightning,Pokemon,a2-56-electabuzz,80,Basic,"[{""info"": ""{L} Charge"", ""effect"": ""Take a {L} Energy from your Energy Zone and attach it to this Pok\u00e9mon.""}]",[],Many power plants keep Ground-type Pokémon<br />around as a defense against Electabuzz that<br />come seeking electricity.,Fighting,2,
A2-057,A2,57,Electivire,A2,Space-Time Smackdown,Rare,Lightning,Pokemon,a2-57-electivire,120,Stage 1,"[{""info"": ""{LL} Exciting Voltage 40+"", ""effect"": ""If this Pok\u00e9mon has at least 2 extra {L} Energy attached, this attack does 80 more damage.""}]",[],The amount of electrical energy this Pokémon<br />produces is proportional to the rate of its pulse.<br />The voltage jumps while Electivire is battling.,Fighting,3,
A2-058,A2,58,Shinx,A2,Space-Time Smackdown,Common,Lightning,Pokemon,a2-58-shinx,60,Basic,"[{""info"": ""{L} Hide"", ""effect"": ""Flip a coin. If heads, during your opponent's next turn, prevent all damage from\u2014and effects of\u2014attacks done to this Pok\u00e9mon.""}]",[],The extension and contraction of its muscles<br />generates electricity. It glows when in trouble.,Fighting,1,
A2-059,A2,59,Luxio,A2,Space-Time Smackdown,Uncommon,Lightning,Pokemon,a2-59-luxio,90,Stage 1,"[{""info"": ""{LC} Electric Claws 40"", ""effect"": """"}]",[],Strong electricity courses through the tips of<br />its sharp claws. A light scratch causes fainting<br />in foes.,Fighting,1,
A2-060,A2,60,Luxray,A2,Space-Time Smackdown,Rare,Lightning,Pokemon,a2-60-luxray,130,Stage 2,"[{""info"": ""{LLL} Volt Bolt"", ""effect"": ""Discard all {L} Energy from this Pok\u00e9mon. This attack does 120 damage to 1 of your opponent's Pok\u00e9mon.""}]",[],It can see clearly through walls to track down its<br />prey and seek its lost young.,Fighting,0,
A2-061,A2,61,Pachirisu ex,A2,Space-Time Smackdown,Double Rare,Lightning,Pokemon,a2-61-pachirisu-ex,120,Basic,"[{""info"": ""{LL} Sparking Gadget 40+"", ""effect"": ""If this Pok\u00e9mon has a Pok\u00e9mon Tool attached, this attack does 40 more damage.""}]",[],,Fighting,1,"When your Pokémon <strong>ex</strong> is <strong>Knocked Out</strong>, your opponent gets <strong>2</strong> points."
A2-063,A2,63,Togepi,A2,Space-Time Smackdown,Common,Psychic,Pokemon,a2-63-togepi,50,Basic,"[{""info"": ""{P} Pound 20"", ""effect"": """"}]",[],The shell seems to be filled with joy. It is said<br />that it will share good luck when treated kindly.,Metal,1,
A2-065,A2,65,Togekiss,A2,Space-Time Smackdown,Rare,Psychic,Pokemon,a2-65-togekiss,140,Stage 2,"[{""info"": ""{PP} Overdrive Smash 60"", ""effect"": ""During your next turn, this Pok\u00e9mon's Overdrive Smash attack does +60 damage.""}]",[],"These Pokémon are never seen anywhere near<br />conflict or turmoil. In recent times, they’ve hardly<br />been seen at all.",Metal,1,
A2-068,A2,68,Ralts,A2,Space-Time Smackdown,Common,Psychic,Pokemon,a2-68-ralts,60,Basic,"[{""info"": ""{C} Teleport"", ""effect"": ""Switch this Pok\u00e9mon with 1 of your Benched Pok\u00e9mon.""}]",[],The horns on its head provide a strong power<br />that enables it to sense people’s emotions.,Darkness,1,
A2-069,A2,69,Kirlia,A2,Space-Time Smackdown,Common,Psychic,Pokemon,a2-69-kirlia,80,Stage 1,"[{""info"": ""{C} Slap 20"", ""effect"": """"}]",[],It has a psychic power that enables it to distort<br />the space around it and see into the future.,Darkness,1,
A2-070,A2,70,Duskull,A2,Space-Time Smackdown,Common,Psychic,Pokemon,a2-70-duskull,60,Basic,"[{""info"": ""{P} Will-O-Wisp 20"", ""effect"": """"}]",[],"If it finds bad children who won’t listen to their<br />parents, it will spirit them away—or so it’s said.",Darkness,1,
A2-071,A2,71,Dusclops,A2,Space-Time Smackdown,Uncommon,Psychic,Pokemon,a2-71-dusclops,90,Stage 1,"[{""info"": ""{PCC} Psypunch 50"", ""effect"": """"}]",[],It seeks drifting will-o’-the-wisps and sucks them<br />into its empty body. What happens inside is<br />a mystery.,Darkness,2,
A2-072,A2,72,Dusknoir,A2,Space-Time Smackdown,Rare,Psychic,Pokemon,a2-72-dusknoir,130,Stage 2,"[{""info"": ""{PCC} Devour Soul 70"", ""effect"": """"}]","[{""info"": ""Shadow Void"", ""effect"": ""As often as you like during your turn, you may choose 1 of your Pok\u00e9mon that has damage on it, and move all of its damage to this Pok\u00e9mon.""}]","At the bidding of transmissions from the spirit<br />world, it steals people and Pokémon away.<br />No one knows whether it has a will of its own.",Darkness,2,
A2-073,A2,73,Drifloon,A2,Space-Time Smackdown,Common,Psychic,Pokemon,a2-73-drifloon,50,Basic,"[{""info"": ""{P} Expand 10"", ""effect"": ""During your opponent's next turn, this Pok\u00e9mon takes \u221220 damage from attacks.""}]",[],It is whispered that any child who mistakes<br />Drifloon for a balloon and holds on to it could<br />wind up missing.,Lightning,1,
A2-074,A2,74,Drifblim,A2,Space-Time Smackdown,Uncommon,Psychic,Pokemon,a2-74-drifblim,100,Stage 1,"[{""info"": ""{PP} Balloon Strike 60"", ""effect"": """"}]",[],"Some say this Pokémon is a collection of souls<br />burdened with regrets, silently drifting through<br />the dusk.",Lightning,1,
A2-083,A2,83,Gligar,A2,Space-Time Smackdown,Common,Fighting,Pokemon,a2-83-gligar,60,Basic,"[{""info"": ""{F} Pierce 20"", ""effect"": """"}]",[],"It usually clings to cliffs. When it spots its prey,<br />it spreads its wings and glides down to attack.",Grass,1,
A2-084,A2,84,Gliscor,A2,Space-Time Smackdown,Uncommon,Fighting,Pokemon,a2-84-gliscor,100,Stage 1,"[{""info"": ""{F} Acrobatics 20+"", ""effect"": ""Flip 2 coins. This attack does 20 more damage for each heads.""}]",[],"It observes prey while hanging inverted from<br />branches. When the chance presents itself,<br />it swoops!",Grass,2,
A2-085,A2,85,Hitmontop,A2,Space-Time Smackdown,Common,Fighting,Pokemon,a2-85-hitmontop,80,Basic,"[{""info"": ""{FF} Spinning Attack 50"", ""effect"": """"}]",[],"It launches kicks while spinning. If it spins at high<br />speed, it may bore its way into the ground.",Psychic,1,
A2-086,A2,86,Nosepass,A2,Space-Time Smackdown,Common,Fighting,Pokemon,a2-86-nosepass,70,Basic,"[{""info"": ""{CC} Ram 30"", ""effect"": """"}]",[],"It moves less than an inch a year, but when<br />it’s in a jam, it will spin and drill down into the<br />ground in a split second.",Grass,2,
A2-088,A2,88,Cranidos,A2,Space-Time Smackdown,Uncommon,Fighting,Pokemon,a2-88-cranidos,90,Stage 1,"[{""info"": ""{F} Headbutt 50"", ""effect"": """"}]",[],"A primeval Pokémon, it possesses a hard and<br />sturdy skull, lacking any intelligence within.",Grass,2,
A2-089,A2,89,Rampardos,A2,Space-Time Smackdown,Rare,Fighting,Pokemon,a2-89-rampardos,150,Stage 2,"[{""info"": ""{F} Head Smash 130"", ""effect"": ""If your opponent's Pok\u00e9mon is Knocked Out by damage from this attack, this Pok\u00e9mon also does 50 damage to itself.""}]",[],"In ancient times, people would dig up fossils of<br />this Pokémon and use its skull, which is harder<br />than steel, to make helmets.",Grass,2,
A2-090,A2,90,Wormadam,A2,Space-Time Smackdown,Common,Fighting,Pokemon,a2-90-wormadam,120,Stage 1,"[{""info"": ""{FCC} Land Crush 70"", ""effect"": """"}]",[],Its appearance changes depending on where it<br />evolved. The materials on hand become a part of<br />its body.,Grass,2,
A2-091,A2,91,Riolu,A2,Space-Time Smackdown,Common,Fighting,Pokemon,a2-91-riolu,60,Basic,"[{""info"": ""{F} Jab 20"", ""effect"": """"}]",[],They communicate with one another using their<br />auras. They are able to run all through the night.,Psychic,1,
A2-092,A2,92,Lucario,A2,Space-Time Smackdown,Rare,Fighting,Pokemon,a2-92-lucario,100,Stage 1,"[{""info"": ""{FF} Submarine Blow 40"", ""effect"": """"}]","[{""info"": ""Fighting Coach"", ""effect"": ""Attacks used by your <span class=\""energy-text energy-text--type-fighting\""></span> Pok\u00e9mon do +20 damage to your opponent\u2019s Active Pok\u00e9mon.""}]","It’s said that no foe can remain invisible to<br />Lucario, since it can detect auras—even those<br />of foes it could not otherwise see.",Psychic,2,
A2-095,A2,95,Gallade ex,A2,Space-Time Smackdown,Double Rare,Fighting,Pokemon,a2-95-gallade-ex,170,Stage 2,"[{""info"": ""{FF} Energized Blade 70+"", ""effect"": ""This attack does 20 more damage for each Energy attached to your opponent's Active Pok\u00e9mon.""}]",[],,Psychic,1,"When your Pokémon <strong>ex</strong> is <strong>Knocked Out</strong>, your opponent gets <strong>2</strong> points."
A2-096,A2,96,Murkrow,A2,Space-Time Smackdown,Common,Darkness,Pokemon,a2-96-murkrow,60,Basic,"[{""info"": ""{D} Peck 20"", ""effect"": """"}]",[],"Feared and loathed by many, it is believed to<br />bring misfortune to all those who see it at night.",Lightning,1,
A2-097,A2,97,Honchkrow,A2,Space-Time Smackdown,Uncommon,Darkness,Pokemon,a2-97-honchkrow,100,Stage 1,"[{""info"": ""{DD} Skill Dive"", ""effect"": ""This attack does 50 damage to 1 of your opponent's Pok\u00e9mon.""}]",[],It is merciless by nature. It is said that it never<br />forgives the mistakes of its Murkrow followers.,Lightning,2,
A2-101,A2,101,Mightyena,A2,Space-Time Smackdown,Uncommon,Darkness,Pokemon,a2-101-mightyena,90,Stage 1,"[{""info"": ""{DC} Darkness Fang 60"", ""effect"": """"}]",[],It will always obey the commands of a skilled<br />Trainer. Its behavior arises from its living in packs<br />in ancient times.,Grass,1,
A2-102,A2,102,Stunky,A2,Space-Time Smackdown,Common,Darkness,Pokemon,a2-102-stunky,70,Basic,"[{""info"": ""{D} Scratch 10"", ""effect"": """"}]",[],"It sprays a foul fluid from its rear. Its stench<br />spreads over a mile radius, driving Pokémon<br />away.",Fighting,1,
A2-103,A2,103,Skuntank,A2,Space-Time Smackdown,Uncommon,Darkness,Pokemon,a2-103-skuntank,100,Stage 1,"[{""info"": ""{DC} Poison Gas 50"", ""effect"": ""Your opponent's Active Pok\u00e9mon is now Poisoned.""}]",[],It attacks by spraying a horribly smelly fluid from<br />the tip of its tail. Attacks from above confound it.,Fighting,2,
A2-105,A2,105,Skorupi,A2,Space-Time Smackdown,Common,Darkness,Pokemon,a2-105-skorupi,70,Basic,"[{""info"": ""{DC} Pierce 30"", ""effect"": """"}]",[],"After burrowing into the sand, it waits patiently<br />for prey to come near. This Pokémon and<br />Sizzlipede share common descent.",Fighting,2,
A2-107,A2,107,Croagunk,A2,Space-Time Smackdown,Common,Darkness,Pokemon,a2-107-croagunk,60,Basic,"[{""info"": ""{DD} Group Beatdown 20x"", ""effect"": ""Flip a coin for each Pok\u00e9mon you have in play. This attack does 20 damage for each heads.""}]",[],"Inflating its poison sacs, it fills the area with an<br />odd sound and hits flinching opponents with a<br />poison jab.",Fighting,1,
A2-108,A2,108,Toxicroak,A2,Space-Time Smackdown,Uncommon,Darkness,Pokemon,a2-108-toxicroak,90,Stage 1,"[{""info"": ""{DD} Group Beatdown 40x"", ""effect"": ""Flip a coin for each Pok\u00e9mon you have in play. This attack does 40 damage for each heads.""}]",[],"Swaying and dodging the attacks of its foes, it<br />weaves its flexible body in close, then lunges<br />out with its poisonous claws.",Fighting,2,
A2-109,A2,109,Darkrai,A2,Space-Time Smackdown,Rare,Darkness,Pokemon,a2-109-darkrai,110,Basic,"[{""info"": ""{DDC} Dark Void 60"", ""effect"": ""Your opponent's Active Pok\u00e9mon is now Asleep.""}]",[],"It chases people and Pokémon from its territory by<br />causing them to experience deep,<br />nightmarish slumbers.",Grass,2,
A2-110,A2,110,Darkrai ex,A2,Space-Time Smackdown,Double Rare,Darkness,Pokemon,a2-110-darkrai-ex,140,Basic,"[{""info"": ""{DDC} Dark Prism 80"", ""effect"": """"}]","[{""info"": ""Nightmare Aura"", ""effect"": ""Whenever you attach a <span class=\""energy-text energy-text--type-darkness\""></span> Energy from your Energy Zone to this Pok\u00e9mon, do 20 damage to your opponent\u2019s Active Pok\u00e9mon.""}]",,Grass,2,"When your Pokémon <strong>ex</strong> is <strong>Knocked Out</strong>, your opponent gets <strong>2</strong> points."
A2-112,A2,112,Registeel,A2,Space-Time Smackdown,Uncommon,Metal,Pokemon,a2-112-registeel,110,Basic,"[{""info"": ""{MMM} Metal Claw 90"", ""effect"": """"}]",[],Registeel’s body is made of a strange material<br />that is flexible enough to stretch and shrink but<br />also more durable than any metal.,Fire,2,
A2-116,A2,116,Bronzor,A2,Space-Time Smackdown,Common,Metal,Pokemon,a2-116-bronzor,60,Basic,"[{""info"": ""{MC} Tackle 30"", ""effect"": """"}]",[],Ancient people believed that the pattern on<br />Bronzor’s back contained a mysterious power.,Fire,1,
A2-117,A2,117,Bronzong,A2,Space-Time Smackdown,Uncommon,Metal,Pokemon,a2-117-bronzong,120,Stage 1,"[{""info"": ""{MMC} Guard Press 60"", ""effect"": ""During your opponent's next turn, this Pok\u00e9mon takes \u221220 damage from attacks.""}]",[],"In ages past, this Pokémon was revered as a<br />bringer of rain. It was found buried in the ground.",Fire,3,
A2-119,A2,119,Dialga ex,A2,Space-Time Smackdown,Double Rare,Metal,Pokemon,a2-119-dialga-ex,150,Basic,"[{""info"": ""{MM} Metallic Turbo 30"", ""effect"": ""Take 2 {M} Energy from your Energy Zone and attach it to 1 of your Benched Pok\u00e9mon.""}, {""info"": ""{MMCC} Heavy Impact 100"", ""effect"": """"}]",[],,Fire,2,"When your Pokémon <strong>ex</strong> is <strong>Knocked Out</strong>, your opponent gets <strong>2</strong> points."
A2-120,A2,120,Heatran,A2,Space-Time Smackdown,Rare,Metal,Pokemon,a2-120-heatran,120,Basic,"[{""info"": ""{MMM} Steel Tackle 110"", ""effect"": ""This Pok\u00e9mon also does 20 damage to itself.""}]",[],It dwells in volcanic caves. It digs in with its<br />cross-shaped feet to crawl on ceilings and walls.,Fire,3,
A2-126,A2,126,Eevee,A2,Space-Time Smackdown,Common,Colorless,Pokemon,a2-126-eevee,60,Basic,"[{""info"": ""{C} Quick Attack 10+"", ""effect"": ""Flip a coin. If heads, this attack does 20 more damage.""}]",[],Its ability to evolve into many forms allows it to<br />adapt smoothly and perfectly to any environment.,Fighting,1,
A2-130,A2,130,Aipom,A2,Space-Time Smackdown,Common,Colorless,Pokemon,a2-130-aipom,60,Basic,"[{""info"": ""{C} Tail Jab 20"", ""effect"": """"}]",[],"As it did more and more with its tail, its hands<br />became clumsy. It makes its nest high in<br />the treetops.",Fighting,1,
A2-135,A2,135,Bidoof,A2,Space-Time Smackdown,Common,Colorless,Pokemon,a2-135-bidoof,60,Basic,"[{""info"": ""{CC} Super Fang"", ""effect"": ""Halve your opponent's Active Pok\u00e9mon's remaining HP, rounded down.""}]",[],"With nerves of steel, nothing can perturb it. It is<br />more agile and active than it appears.",Fighting,2,
A2-136,A2,136,Bibarel,A2,Space-Time Smackdown,Common,Colorless,Pokemon,a2-136-bibarel,110,Stage 1,"[{""info"": ""{CC} Rolling Tackle 60"", ""effect"": """"}]",[],It busily makes its nest with stacks of branches and<br />roots it has cut up with its sharp incisors.,Fighting,2,
A2-137,A2,137,Buneary,A2,Space-Time Smackdown,Common,Colorless,Pokemon,a2-137-buneary,60,Basic,"[{""info"": ""{C} Splash 10"", ""effect"": """"}]",[],"If both of Buneary’s ears are rolled up, something<br />is wrong with its body or mind. It’s a sure sign the<br />Pokémon is in need of care.",Fighting,1,
A2-138,A2,138,Lopunny,A2,Space-Time Smackdown,Common,Colorless,Pokemon,a2-138-lopunny,90,Stage 1,"[{""info"": ""{C} Jump Kick 20"", ""effect"": ""This attack also does 20 damage to 1 of your opponent's Benched Pok\u00e9mon.""}]",[],"Lopunny is constantly monitoring its surroundings.<br />If danger approaches, this Pokémon responds<br />with superdestructive kicks.",Fighting,1,
A2-142,A2,142,Fan Rotom,A2,Space-Time Smackdown,Common,Colorless,Pokemon,a2-142-fan-rotom,80,Basic,"[{""info"": ""{CC} Spin Storm"", ""effect"": ""Flip a coin. If heads, put your opponent's Active Pok\u00e9mon into their hand.""}]",[],This Rotom has entered an electric fan. It smirks<br />with satisfaction over a prank well pulled after it<br />blows away everything around it.,Lightning,1,
A2-144,A2,144,Skull Fossil,A2,Space-Time Smackdown,Common,,Fossil,a2-144-skull-fossil,0,Item,,,,,,You may play any number of Item cards during your turn.
A2-146,A2,146,Pokémon Communication,A2,Space-Time Smackdown,Uncommon,,Item,a2-146-pokemon-communication,0,Item,,,,,,You may play any number of Item cards during your turn.
A2-147,A2,147,Giant Cape,A2,Space-Time Smackdown,Uncommon,,Pokémon Tool,a2-147-giant-cape,0,Tool,,,,,,
A2-151,A2,151,Team Galactic Grunt,A2,Space-Time Smackdown,Uncommon,,Supporter,a2-151-team-galactic-grunt,0,Supporter,,,,,,You may play only 1 Supporter card during your turn.
A2-153,A2,153,Volkner,A2,Space-Time Smackdown,Uncommon,,Supporter,a2-153-volkner,0,Supporter,,,,,,You may play only 1 Supporter card during your turn.
A2-154,A2,154,Dawn,A2,Space-Time Smackdown,Uncommon,,Supporter,a2-154-dawn,0,Supporter,,,,,,You may play only 1 Supporter card during your turn.
A2-156,A2,156,Tangrowth,A2,Space-Time Smackdown,Art Rare,Grass,Pokemon,a2-156-tangrowth,130,Stage 1,"[{""info"": ""{GGGC} Mega Drain 90"", ""effect"": ""Heal 30 damage from this Pok\u00e9mon.""}]",[],"Tangrowth has two arms that it can extend as it<br />pleases. Recent research has shown that these<br />arms are, in fact, bundles of vines.",Fire,3,
A2-157,A2,157,Combee,A2,Space-Time Smackdown,Art Rare,Grass,Pokemon,a2-157-combee,50,Basic,"[{""info"": ""{C} Call for Family"", ""effect"": ""Put 1 random Basic Pok\u00e9mon from your deck onto your Bench.""}]",[],"At night, Combee sleep in a group of about a<br />hundred, packed closely together in a lump.",Fire,1,
A2-159,A2,159,Shaymin,A2,Space-Time Smackdown,Art Rare,Grass,Pokemon,a2-159-shaymin,60,Basic,"[{""info"": ""{GC} Flop 30"", ""effect"": """"}]","[{""info"": ""Fragrant Flower Garden"", ""effect"": ""Once during your turn, you may heal 10 damage from each of your Pok\u00e9mon.""}]",It can dissolve toxins in the air to instantly<br />transform ruined land into a lush field of flowers.,Fire,1,
A2-160,A2,160,Mamoswine,A2,Space-Time Smackdown,Art Rare,Water,Pokemon,a2-160-mamoswine,160,Stage 2,"[{""info"": ""{WWCC} Frosty Flattening 120"", ""effect"": """"}]","[{""info"": ""Thick Fat"", ""effect"": ""This Pok\u00e9mon takes \u221230 damage from attacks from <span class=\""energy-text energy-text--type-fire\""></span> or <span class=\""energy-text energy-text--type-water\""></span> Pok\u00e9mon.""}]","This Pokémon can be spotted in wall paintings<br />from as far back as 10,000 years ago. For a<br />while, it was thought to have gone extinct.",Metal,4,
A2-163,A2,163,Shinx,A2,Space-Time Smackdown,Art Rare,Lightning,Pokemon,a2-163-shinx,60,Basic,"[{""info"": ""{L} Hide"", ""effect"": ""Flip a coin. If heads, during your opponent's next turn, prevent all damage from\u2014and effects of\u2014attacks done to this Pok\u00e9mon.""}]",[],The extension and contraction of its muscles<br />generates electricity. It glows when in trouble.,Fighting,1,
